Wavelength (nm),QE_Q_Curve,QE_Bialkali
378,0.2953657883880825,0.29536561056854654
379,0.2951335118411001,0.29513326302154974
380,0.29490123529411766,0.29490091547455294
381,0.2946689587471352,0.29466856792755614
382,0.2944366822001528,0.2944362203805594
383,0.29420440565317035,0.2942038728335626
384,0.2939721291061879,0.2939715252865658
385,0.2937398525592055,0.293739177739569
386,0.29350757601222305,0.2935068301925722
387,0.2932752994652406,0.29327448264557543
388,0.2930430229182582,0.2930421350985786
389,0.2928107463712758,0.2928097875515818
390,0.2922825296829971,0.29227999258328674
391,0.2916608582132565,0.2916584178427564
392,0.29103918674351587,0.29103684310222616
393,0.29041751527377524,0.29041526836169584
394,0.28979584380403456,0.2897936936211656
395,0.28917417233429393,0.28917211888063526
396,0.2885525008645533,0.288550544140105
397,0.2879308293948127,0.2879289693995747
398,0.28730915792507206,0.2873073946590444
399,0.28668748645533143,0.2866858199185141
400,0.2860658149855908,0.28606424517798384
401,0.2854441435158501,0.2854426704374535
402,0.2848224720461095,0.28482109569692327
403,0.2842008005763689,0.28419952095639295
404,0.28357912910662825,0.2835779462158627
405,0.2829574576368876,0.28295637147533237
406,0.282335786167147,0.2823347967348021
407,0.2815851254341953,0.28158378643148213
408,0.2806488460054033,0.2806476659733585
409,0.27971256657661137,0.2797115455152348
410,0.2787762871478194,0.2787754250571111
